soil_moisture,rainfall,temperature,crop_type,irrigation_frequency,land_slope,organic_matter_content,water_category
0.52,1001,22.5,soybean,2,0.11,2.63,grey
0.87,1458,33.2,soybean,5,0.02,1.26,grey
0.74,644,27.4,wheat,2,0.09,2.4,grey
0.66,700,31.1,wheat,1,0.1,1.44,green
0.39,1428,28.6,soybean,5,0.03,4.23,green
0.39,1223,35.0,cotton,2,0.19,4.79,blue
0.33,960,31.3,cotton,3,0.17,1.29,grey
0.82,1231,30.6,rice,1,0.13,4.82,green
0.66,1251,31.7,corn,1,0.09,3.09,green
0.72,1424,22.1,cotton,1,0.08,2.2,green
0.31,1408,23.1,wheat,3,0.13,1.31,green
0.88,1057,30.7,cotton,3,0.11,3.0,green
0.8,1046,27.4,rice,4,0.01,4.18,grey
0.43,752,31.3,rice,2,0.1,3.83,grey
0.41,889,21.5,corn,4,0.16,1.2,grey
0.41,1093,28.0,cotton,2,0.09,1.29,grey
0.48,1382,25.7,wheat,3,0.01,2.61,blue
0.61,755,26.9,wheat,3,0.16,2.18,grey
0.56,1208,29.1,soybean,4,0.04,1.93,green
0.47,1314,27.5,wheat,5,0.05,2.12,grey
0.67,1420,28.1,corn,4,0.03,4.21,blue
0.38,949,27.3,corn,2,0.07,4.72,green
0.48,509,26.1,wheat,4,0.15,2.62,grey
0.52,1323,31.6,wheat,1,0.1,4.62,grey
0.57,1297,20.2,soybean,2,0.04,2.29,grey
0.77,741,29.0,wheat,2,0.18,2.91,green
0.42,750,28.5,soybean,5,0.18,1.9,green
0.61,1376,30.7,soybean,3,0.17,3.56,blue
0.66,504,29.0,wheat,2,0.05,4.92,green
0.33,618,32.4,rice,3,0.09,3.41,green
0.66,1300,34.4,rice,4,0.2,2.43,grey
0.4,873,25.1,soybean,1,0.15,3.59,green
0.34,564,23.4,wheat,5,0.01,1.49,grey
0.87,645,26.4,rice,3,0.01,4.55,grey
0.88,723,24.3,wheat,2,0.09,3.01,green
0.79,738,29.2,wheat,3,0.18,2.8,blue
0.48,676,33.7,wheat,2,0.11,3.34,blue
0.36,1278,22.1,cotton,3,0.1,3.5,green
0.71,1352,21.5,wheat,2,0.02,1.29,blue
0.56,781,23.8,cotton,4,0.13,3.73,grey
0.37,562,30.9,soybean,2,0.16,1.97,grey
0.6,716,28.9,rice,2,0.08,3.86,green
0.32,1353,21.5,rice,1,0.16,4.29,blue
0.85,1326,33.8,rice,2,0.19,4.22,blue
0.46,1294,31.9,rice,1,0.04,3.21,grey
0.7,1188,20.3,rice,5,0.1,3.08,green
0.49,960,29.8,rice,1,0.06,1.57,blue
0.61,1428,31.6,rice,4,0.16,4.1,green
0.63,1109,25.6,soybean,1,0.12,2.09,blue
0.41,604,21.0,wheat,5,0.13,2.99,grey
0.88,598,21.2,corn,4,0.16,2.14,grey
0.77,1010,21.6,cotton,3,0.08,1.54,green
0.86,884,32.6,corn,3,0.18,3.52,grey
0.84,904,33.7,corn,1,0.11,1.22,blue
0.66,1322,21.8,wheat,1,0.03,3.99,grey
0.85,1017,23.5,wheat,5,0.14,2.27,green
0.35,975,22.5,wheat,5,0.16,1.0,green
0.42,1476,22.8,rice,2,0.06,3.04,green
0.33,1208,32.6,soybean,5,0.17,1.19,blue
0.5,1362,25.0,rice,2,0.18,2.1,blue
0.53,1144,24.7,soybean,4,0.06,3.83,blue
0.46,1369,23.4,soybean,1,0.2,1.25,blue
0.8,1270,29.1,corn,4,0.03,4.36,blue
0.51,936,25.7,corn,5,0.04,1.02,grey
0.47,522,31.2,soybean,4,0.04,1.99,blue
0.63,1496,23.1,soybean,4,0.18,3.96,blue
0.38,1064,31.8,rice,4,0.13,2.27,grey
0.78,1176,29.1,rice,5,0.03,1.41,blue
0.34,1213,21.7,corn,4,0.09,2.44,green
0.89,957,26.2,wheat,2,0.12,2.08,blue
0.76,582,33.0,soybean,5,0.02,4.37,blue
0.42,644,33.8,rice,4,0.18,2.25,green
0.3,584,27.0,corn,5,0.16,4.16,green
0.79,577,27.2,rice,3,0.1,4.57,green
0.72,956,33.8,soybean,2,0.19,2.74,green
0.74,1377,28.8,soybean,4,0.08,4.64,blue
0.76,500,20.5,cotton,3,0.2,2.51,green
0.34,550,33.7,wheat,3,0.13,4.86,green
0.52,1184,23.7,cotton,5,0.13,1.36,grey
0.37,1216,28.7,corn,3,0.03,3.75,green
0.82,1271,22.5,rice,2,0.18,2.98,green
0.67,945,20.5,corn,2,0.09,2.55,grey
0.5,948,24.7,soybean,1,0.03,3.53,grey
0.34,1380,31.7,cotton,2,0.0,3.82,blue
0.49,987,24.2,cotton,3,0.11,1.02,grey
0.5,1299,23.3,cotton,2,0.11,1.67,blue
0.74,533,23.2,corn,5,0.14,3.85,grey
0.68,847,27.7,soybean,1,0.18,3.67,grey
0.83,594,34.6,rice,3,0.02,4.86,blue
0.58,571,26.9,rice,1,0.15,4.04,grey
0.37,1050,28.4,corn,3,0.04,4.8,blue
0.73,653,32.9,cotton,5,0.17,3.81,grey
0.76,749,28.0,wheat,1,0.16,2.19,green
0.64,1173,22.8,corn,4,0.11,1.42,grey
0.76,937,24.5,corn,3,0.14,4.13,blue
0.6,617,24.6,soybean,4,0.06,3.58,grey
0.61,1270,26.0,rice,1,0.09,1.19,blue
0.56,1390,26.4,corn,4,0.16,2.44,blue
0.32,805,32.0,corn,4,0.09,4.83,green
0.36,767,25.2,cotton,1,0.07,3.0,green
0.32,1460,27.0,cotton,5,0.1,2.73,blue
0.68,553,29.4,wheat,4,0.17,2.83,grey
0.49,735,25.7,soybean,4,0.07,1.84,blue
0.61,888,32.5,wheat,5,0.03,2.47,blue
0.84,1489,28.8,cotton,4,0.14,2.48,grey
0.45,1233,24.4,rice,4,0.17,1.21,grey
0.55,1262,30.7,cotton,4,0.02,4.07,grey
0.75,1324,27.9,soybean,2,0.05,2.67,grey
0.44,900,28.0,cotton,5,0.03,4.29,blue
0.35,1123,27.2,soybean,4,0.07,4.4,blue
0.47,1266,27.5,soybean,5,0.09,1.85,green
0.4,802,31.5,soybean,3,0.15,3.63,blue
0.86,1418,21.5,soybean,3,0.13,2.89,grey
0.78,706,25.0,soybean,4,0.12,4.52,green
0.68,728,21.1,rice,5,0.07,1.86,grey
0.82,1352,31.3,wheat,5,0.17,3.71,blue
0.78,1409,24.1,corn,5,0.09,3.43,green
0.41,1077,33.5,wheat,2,0.2,2.18,grey
0.84,574,27.9,soybean,3,0.13,1.55,green
0.62,934,32.0,rice,5,0.03,3.61,green
0.78,602,34.7,cotton,5,0.14,3.95,blue
0.84,921,32.6,rice,2,0.07,2.26,grey
0.49,1203,33.0,soybean,2,0.14,3.58,green
0.37,1263,26.1,rice,5,0.01,2.58,green
0.44,1237,28.3,rice,1,0.03,3.85,grey
0.56,1305,23.8,soybean,5,0.17,1.8,green
0.79,805,22.9,rice,5,0.05,4.56,green
0.82,597,27.6,corn,2,0.17,2.15,green
0.3,1349,28.9,corn,2,0.06,2.47,grey
0.61,1297,25.1,rice,5,0.13,1.23,grey
0.55,834,28.5,cotton,5,0.14,1.45,grey
0.43,1358,33.3,soybean,5,0.1,3.06,grey
0.37,934,28.4,corn,2,0.06,2.07,blue
0.5,946,30.8,cotton,5,0.04,4.34,green
0.87,1493,32.1,rice,5,0.01,1.06,grey
0.49,807,34.8,cotton,4,0.06,2.52,green
0.61,748,29.0,wheat,1,0.13,2.35,green
0.72,665,32.1,corn,3,0.19,1.08,blue
0.52,980,34.4,rice,1,0.17,1.5,grey
0.88,1483,34.2,soybean,4,0.15,2.65,grey
0.88,834,22.1,rice,3,0.16,2.97,green
0.45,1041,26.1,soybean,5,0.13,2.62,grey
